ROUTINES,,,,,,,,
Name,Type,MEMORY,CPU,Cost,Availability,Legality,Effect,Description
Smoke bomb 3.8,Utility Routine,1,1,10000,UNCOMMON,Illegal,Provides a LARGE bonus to OBFUSCATE skill checks,A hacker specialized tool that help reduce the odds of raising an alarm.
Getaway Driver,Utility Routine,2,1,20000,UNCOMMON,No Permit,When connected to a VEHICULE this ROUTINE can PILOT/NAVIGATE at a skill of 5 with a LARGE bonus. ,Advanced pilot AI with combat driving assistance.
Yotoma Dragon Hoard,Utility Routine,1,1,30000,RARE,Restricted,"Pick one ROUTINE running on your NETWORK. That routine can never be the target of any hostile action, including SCAN until Dragon Hoard ends or your NETWORK is DESTROYED.",Advanced backup routine to ensure complete data INTEGRITY
Second Sight,Utility Routine,1,1,10000,UNCOMMON,No Permit,Passivelly grant a LARGE bonus to PERCEPTION checks and TECH SOAK made against OBFUSCATE or CONCEALMENT checks. ,Tactical monitoring AI that constantly watches for hidden threats.
Yotoma Dragonscale,Utility Routine,1,1,30000,RARE,No Permit,CYBER ATTACKs and DISRUPT HACKING rolls against your network have a LARGE penalty.,A high end protection routine for your devices
OrionWorks Publi-X,Utility Routine,1,1,50000,LIMITED,Restricted,Provides a LARGE bonus to any action or damage performed against TRONIKS,Fuck the TRONIKS
Super Bleach,Utility Routine,1,1,50000,LIMITED,Illegal,"Anyone running this routine, can once per SCENE,cancel the first ALARM triggered by disconnecting from the target network. The target network resets to its default SYSTEM value as if no one had attempted to infiltrate it. This routine has no effect on subsequent alarms.",Never ever leave a trace ever again
Sabotage,Utility Routine,1,1,10000,UNCOMMON,Restricted,Anyone running this routine gains the EMP special modifier to any non OLD ENERGY weapon.,Attack routine designed to overload circuits of Drones and Robots
Pocket Shrink,Utility Routine,2,2,60000,RARE,No Permit,Anyone running this routine recovers 1 MORALE during maintenance as long as they are not suffering from a SEVERE TRAUMA.,Monitors mental health of network users.
User Manual,Utility Routine,2,1,20000,UNCOMMON,No Permit,All technological devices that are connected to the network have their EXPERTISE increased by 3,Provides real time help when using technological devices.
Unity,Utility Routine,2,2,110000,LIMITED,Classified,"While active, every user that runs Unity gains the ADAPTATION special modifier if their defense is a FORCEFIELD or DATACOM. In addition Unity spreads the Adaptation defense increase to everyone running it and not just the person being hit.",Advanced forcefield management software
Locksmith,Utility Routine,1,1,30000,RARE,Restricted,"LARGE bonus to any skill checks made when trying to bypass intrusion prevention mechanism (doors, locks, keypads)",A helper routine specially designed to assist breaking into secure locations
Truth Serum,Utility Routine,1,1,30000,RARE,Restricted,LARGE bonus any skill check made to determine if someone is lying to you or when trying to extract information from a target,Lie detection
Combat HUD,Utility Routine,1,1,30000,RARE,Restricted,"Grants a SMALL bonus to any skill used as a combat actions against a target (guns, hacking, spells, martial arts etc.)",Fully automated combat AI and tactical suite
Overload,Utility Routine,1,1,30000,RARE,Illegal,All NETWORK devices have a SMALL bonus to TECH damage.,Use hacking to cause another device to emit an electric arc.
Watchdog Rexxx,Utility Routine,2,1,30000,RARE,Illegal,Anyone that inflicts SYSTEM DAMAGE to a NODE running Watchdog Rexxx gets inflicted by a LOCK-ON AILMENT.,"Your own loyal cyberdog, that will bite anyone foolish enough to attack you."
Personal Assistant,Utility Routine,2,1,30000,RARE,No Permit,This AI can provide assistance and perform complex tasks not covered by standard datacom AI. Treat it as having average intelligence and the same skill levels as its user.,A specialized AI assistant designed to provide assistance with just about anything.
Buffbot,Utility Routine,1,2,50000,RARE,Restricted,"While Buffbot is running, pick one ROUTINE on deployment (other than Buffbot). CLIENT NODES on the NETWORK can now run the selected ROUTINE without expending any CPU.",Advanced ROUTINE management that can optimize CPU usage.
Terminator protocols,Utility Routine,1,2,50000,RARE,Illegal,While running this ROUTINE adds the following property when targetting anyone under the effect of LOCK-ON : Any attack against the target has its critical range improved by 1 point.,Provides military grade AI designed to find vulnerabilities.
Backupotron MK 2,Utility Routine,1,1,50000,LIMITED,Illegal,While Backupotron MK 2 is running your datacom's content will not be DESTROYED if your CORE NETWORK is reduced to 0 SYSTEM. Instead a backup of all of your content will be hidden on the public NETWORK. You can attempt to retrieve it at a later time and date assuming you're willing to risk TRONIK exposure.,"A network version of the Dragon Hoard routine, ripped and rewritten for use by hackers."
Witch Doctor,Utility Routine,1,1,30000,RARE,Restricted,While Witch Doctor is active you gain a LARGE bonus to SOAK on HEALTH and MORALE damage but any damage that gets past your SOAK is dealt to both HEALTH and MORALE.,Greatness demands sacrifice
Pinkeye,Utility Routine,1,1,30000,RARE,Illegal,"If you have access to the target's INTERNAL NETWORK, CRITICAL SUCCESS of any attacks that deal MORALE damage gains the ONG special effect. If you have access to the target's CORE NETWORK this instead applies on every hit, regardless of critical success or not.",Neural warfare protocol designed to impair visual senses
Killer nanobots,Utility Routine,1,1,10000,UNCOMMON,Illegal,While running this ROUTINE adds the following property when targetting anyone under the effect of LOCK-ON : Target has VULNERABILITY 1 to all damage.,Hacking also causes target's nanobots to attempt to kill their owner.
Beryl Protocol,Utility Routine,1,1,50000,LIMITED,Restricted,"While this routine is running, any unused CPU from the previous round grants rerolls vs AILMENTS and conditions during MAINTENANCE.",Monitors your mental health and auto terminates lasting threats.
Matter processor ,Utility Routine,1,1,30000,RARE,Restricted,Reload actions of connected devices is improved by 1 category up to a maximum of Quick / 1 round(s),Optimize weapon reload systems and munition consumption.
BOOMSTICK!,Utility Routine,1,1,30000,RARE,Illegal,"While active you overwrite the POWER value of all TEK weapons you operate to be: LOC (HIGH at short range, MEDIUM at medium range and LOW at long range)",Modify the wavelength of your datacom's comunication output to maximize destructive potential.
Recursive Loop,Utility Routine,1,2,50000,RARE,Illegal,While active all TEK weapons you operate gain Burst Fire option.,A modification to your datacom core functionality that allows for multiple actions simultaneously
Ghost 2.2,Utility Routine,2,1,60000,LIMITED,Restricted,When making any HACKING CYBERINTEL OR OPERATOR skill checks while OBFUSCATED your critical range is increased by 3 and on a critical results your OBFUSCATION count does not go down for that action.,Quality hacking will no longer trigger alarms.
Cyberwall Nano,Utility Routine,2,2,110000,LIMITED,Illegal,While Cyberwall Nano is running you have a LARGE bonus to SOAK against SYSTEM damage.,A network version of the Cyberwall software. This version has seen some use outside of networks.
Carnifex Ultra-Violet,Utility Routine,1,1,50000,LIMITED,Restricted,"SOAK checks made against any of your HACKING, OPERATOR or CYBERINTEL attacks are UNLUCKY.","Its Carnifex, it devours threats about as well as your budget."
Distributed Denial of Service,Utility Routine,1,2,100000,LIMITED,Illegal,While active all TEK weapons you operate gain the FULL AUTO option,"Why limit yourself to one result when you can have all of them at once, satisfaction guaranteed!"
Killdog Rexxx,Utility Routine,2,2,500000,UNIQUE,Illegal,Anyone that inflicts SYSTEM DAMAGE to a NODE running Killdog Rexxx gets inflicted by a LOCK-ON AILMENT. While this LOCK-ON persists any attacks on the target are guaranteed Critical Success.,A black market modified Rexxx that is lethal.
Nordcorp Protocol 0,Utility Routine,2,2,500000,UNIQUE,Illegal,"While running Protocol 0, the minimum DATACOM defense value of a Defense Matrix is MEDIUM and DATACOM SOAK checks results are always at maximum value.","Trust me man, this thing does not exist, otherwise hackers would be out of business."
Basic Wall,Defense Matrix,1,1,20000,COMMON,No Permit,A general purpose wall that provides the following defenses ratings : Physical LOW / Energy MEDIUM / Tech MEDIUM / Spiritual LOW,Better than nothing
Adaptive Wall,Defense Matrix,2,2,100000,RARE,No Permit,Adaptive wall grants LOW defense to all types and  HIGH defense against any attacks from target that suffers from a LOCK ON that belongs to your network,
Virtual Wall,Defense Matrix,1,1,20000,UNCOMMON,No Permit,An anti TECH wall that provides the following defenses ratings : Physical LOW / Energy LOW / Tech EXTREME / Spiritual LOW,Specialized wall to protect from tech attacks
Stone Wall,Defense Matrix,1,1,20000,UNCOMMON,No Permit,An anti PHYSICAL wall that provides the following defenses ratings : Physical EXTREME / Energy LOW / Tech LOW / Spiritual LOW,Specialized wall to protect from physical attacks
Fire Wall,Defense Matrix,1,1,20000,UNCOMMON,No Permit,An anti ENERGY wall that provides  the following defenses ratings : Physical LOW / Energy EXTREME / Tech LOW / Spiritual LOW,Specialized wall to protect from energy attacks
Spirit Wall,Defense Matrix,1,1,20000,UNCOMMON,No Permit,An anti SPIRITUAL wall that provides  the following defenses ratings : Physical LOW / Energy LOW / Tech LOW / Spiritual EXTREME,Specialized wall to protect from spiritual attacks
Combat Wall,Defense Matrix,2,2,100000,RARE,Restricted,As long as you have NANITES available you can spend 1 of them as a FREE ACTION to raise the DEFENSE of Combat Wall by 1 category against that attack. Defense value reverts to normal after the attack,Military grade warfare wall designed to protect combat engineers
Slick's Wall of Awesome,Defense Matrix,2,2,840000,UNIQUE,Restricted,While this wall is active you gain 1 NANITE (up to your maximum) every time you defend against an attack.,
Fly trap Wall,Defense Matrix,2,1,60000,RARE,Illegal,Any attacker that attacks someone running this wall gains an automatic LOCK ON against them.,
Nulify Defenses,Tronik Routine,3,2,120000,LIMITED,Classified,"While active all of your attacks will change to one of either PHYSICAL, ENERGY, TECH or SPIRITUAL matching the target's lowest DEFENSE",Tronik warfare routine
Conference Call,Utility Routine,1,1,10000,COMMON,No Permit,When Conference Call is running your ASSISTANCE actions now grant the skill bonus to the entire NETWORK,A corporate tool designed to assist multiple employees at once
Cyber Mole,Utility Routine,1,1,10000,UNCOMMON,Illegal,"When Cyber Mole is running the OBFUSCATE action is modified so that if you are already inside an INTERNAL or CORE target NETWORK, you gain a LARGE bonus HACKING and CYBERINTEL skill checks as long as you stay OBFUSCATED.",A silent stealth program that will help mask the user's actions against a network.
Magnetron,Utility Routine,1,1,10000,UNCOMMON,Illegal,"When Magnetron is running the SCRAMBLE action now also applies a LARGE penalty to all HACKING, CYBER INTEL and OPERATOR skill checks done within SCRAMBLE range (friend or foe).",An improved scramble attack causing random connection issues to the infected network
Reinforcement,Utility Routine,1,1,10000,COMMON,No Permit,When Reinforcement is running the SCRAMBLE action grants everyone in your network a LARGE BONUS to SOAK against all TECH attacks not performed in melee range.,An improved scrambler that massively improves power output
Pufferfish,Utility Routine,2,1,30000,RARE,No Permit,When Pufferfish is running the SCRAMBLE action grants everyone in your network HIGH defenses if their defense type is DATACOM. The defense bonus lasts until a SCAN action is successfully made against your INTERNAL NETWORK or until SCRAMBLE ends. Pufferfish cannot be re-applied in the same SCENE.,Provide false information on SCANS.
Obliterator Protocol,TEK Routine,1,1,50000,UNCOMMON,No Permit,Allows your TEK weapon to run on the Obliterator protocol,
FireZap,TEK Routine,1,1,110000,RARE,Illegal,A HIGH power TECH weapon program designed to turn burn the nerves of your targets,
StrikeNet,TEK Routine,2,1,220000,LIMITED,No Permit,A MORALE based energy program designed to penetrate and punish defenses.,
Cortex Killer,TEK Routine,2,2,1800000,UNIQUE,Illegal,Allows your TEK weapon to run on the Cortex Killer protocol,
TriggerHappy,TEK Routine,1,2,50000,COMMON,No Permit,A common program designed to emulate the effects of needler weapons with a TEK gun,
Killjoy,TEK Routine,1,1,50000,UNCOMMON,Restricted,A common TEK weapon pick that cause severe mental distress from high frequency gravity waves.,
MurderMesh,TEK Routine,2,1,130000,RARE,Illegal,A murder mesh modifies TEK payload to detonate into liquid plasma in a 2m radius that sets targets on fire.,
NeuroStun,TEK Routine,1,1,50000,UNCOMMON,Restricted,A highly effective TEK weapon pacifier program that literally force the target's brain to shutdown.,
DeathWhisper,TEK Routine,2,2,400000,LIMITED,Classified,Rumors have it that this TEK weapon program can conjure spirits that will rip the soul right out of its targets.,
Verminator,Tronik TEK Routine,2,1,300000,LIMITED,Classified,A secret project designed to grant TEK weapons the ability to obliterate all types of defenses.,
PROGRAMS,,,,,,,,
Name,Type,MEMORY,CPU,Cost,Availability,Legality,Effect,Description
1- Crypto-cat,EXTERNAL CYBER ATTACK,1,1,30000,COMMON,Illegal,"When using Crypto-Cat to perform a CYBER ATTACK against an EXTERNAL NETWORK, for every mitigated success you prevents 1 user from being affected by one ROUTINE (defender's choice). Any success leftover if no routines or users are available is dealt to the SYSTEM.",Encrypt the system it infects
2- Crypto-cat,INTERNAL CYBER ATTACK,1,1,30000,COMMON,Illegal,"When using Crypto-Cat to perform a CYBER ATTACK against an INTERNAL NETWORK, for every mitigated success you returns one ROUTINE (defender's choice) to memory. Any success leftover if no routines are available is dealt to the SYSTEM.",
3- Crypto-cat,CORE CYBER ATTACK,1,1,30000,COMMON,Illegal,"When using Crypto-Cat to perform a CYBER ATTACK against a CORE NETWORK, for every mitigated success you steals one ROUTINE (defender's choice) from the defender's memory. Any success leftover if no routines are available is dealt to the SYSTEM.",
1- Sledgehammer,EXTERNAL CYBER ATTACK,1,2,4000,COMMON,Restricted,"When using Sledgehammer to perform a CYBER ATTACK against an EXTERNAL NETWORK your attack gains a SMALL bonus to your HACKING result, but cannot be OBFUSCATED.",When subtlety just won't do
2- Sledgehammer,INTERNAL CYBER ATTACK,1,2,4000,COMMON,Restricted,"When using Sledgehammer to perform a CYBER ATTACK against an INTERNAL NETWORK your attack gains a LARGE bonus to your HACKING result, but cannot be OBFUSCATED.",
3- Sledgehammer,CORE CYBER ATTACK,1,2,4000,COMMON,Restricted,"When using Sledgehammer to perform a CYBER ATTACK against a CORE NETWORK your attack gains a LARGE bonus to your HACKING result, but cannot be OBFUSCATED. Any damage to the CORE system applies the DAZED AILMENT to every NODE owners.",
1- Slurm,EXTERNAL CYBER ATTACK,1,1,10000,UNCOMMON,Illegal,When using Slurm to perform a CYBER ATTACK against an EXTERNAL NETWORK you add a cumulative VULNERABILITY 1 AILMENT against ALL damage to one NODE and OWNER of your choice. (Maintenance save removes all stacks of vulnerability).,An upgraded CYBER ATTACK skill that renders a network vulnerable to subsequent attacks.
2- Slurm,INTERNAL CYBER ATTACK,1,1,10000,UNCOMMON,Illegal,When using Slurm to perform a CYBER ATTACK against an INTERNAL NETWORK you add cumulative VULNERABILITY 1 AILMENT against ALL damage to every NODE and NODE OWNER on the NETWORK. (Maintenance save removes all stacks of vulnerability).,
3- Slurm,CORE CYBER ATTACK,1,1,10000,UNCOMMON,Illegal,When using Slurm to perform a CYBER ATTACK against a CORE NETWORK you add your mitigated result as a VULNERABILITY X AILMENT against ALL damage done to every NODE and NODE OWNER on the NETWORK. (Maintenance save removes all stacks of vulnerability) ,
1- Smoke Break,EXTERNAL CYBER ATTACK,1,1,120000,UNCOMMON,Illegal,"When using Smoke Break to perform a CYBER ATTACK against an EXTERNAL NETWORK, in addition to the SYSTEM DAMAGE, one routines (defender's choice) on the targeted network provide no benefits and cannot be used until next turn.",A CYBER ATTACK that prevents network from changing running routines.
2- Smoke Break,INTERNAL CYBER ATTACK,1,1,120000,UNCOMMON,Illegal,"When using Smoke Break to perform a CYBER ATTACK against an INTERNAL NETWORK, in addition to the SYSTEM DAMAGE, all routines on the targeted network provide no benefits and cannot be used until next turn.",
3- Smoke Break,CORE CYBER ATTACK,1,1,120000,UNCOMMON,Illegal,"When using Smoke Break to perform a CYBER ATTACK against a CORE NETWORK, in addition to the SYSTEM DAMAGE, all routines on the targeted network are DESTROYED.",
1- Cry Wolf,EXTERNAL CYBER ATTACK,2,1,30000,RARE,Restricted,"When using Cry Wolf to perform a CYBER ATTACK against an EXTERNAL NETWORK while OBFUSCATED, you can prevent your OFFUSCATED count from counting this attack but once OBFUSCATION ends you gives FREE LOCK ON to the enemy on every user of your NETWORK. This effect cannot be used if you are the only user in your NETWORK.",A covert attack program designed to misdirect attention
2- Cry Wolf,INTERNAL CYBER ATTACK,2,1,30000,RARE,Restricted,"When using Cry Wolf to perform a CYBER ATTACK against an INTERNAL NETWORK while OBFUSCATED, you can prevent your OFFUSCATED count from counting this attack but once OBFUSCATION ends you gives FREE LOCK ON to the enemy against a user of your choice within your NETWORK.",
3- Cry Wolf,CORE CYBER ATTACK,2,1,30000,RARE,Restricted,"When using Cry Wolf to perform a CYBER ATTACK against a CORE NETWORK while OBFUSCATED you can, instead of dealing SYSTEM damage, increase your OBFUSCATION count by your mitigated CYBER ATTACK result.",
1- Black Out,EXTERNAL CYBER ATTACK,1,1,20000,UNCOMMON,Illegal,When using Black Out to perform a CYBER ATTACK against an EXTERNAL NETWORK will also reduce charge count of a FORCEFIELD of your choice connected to that network by 1.,Forces all connected network shields and forcefields to shutdown.
2- Black Out,INTERNAL CYBER ATTACK,1,1,20000,UNCOMMON,Illegal,When using Black Out to perform a CYBER ATTACK against an INTERNAL NETWORK will also reduce the charge count of all FORCEFIELD connected to that network by 1.,
3- Black Out,CORE CYBER ATTACK,1,1,20000,UNCOMMON,Illegal,When using Black Out to perform a CYBER ATTACK against a CORE NETWORK will also reduce the charge count of all FORCEFIELD connected to that network to 0.,
1- Exile,EXTERNAL CYBER ATTACK,1,1,9000,UNCOMMON,Restricted,"When using Exile to perform a CYBER ATTACK against an EXTERNAL NETWORK, if you deal enough damage to recude the layer to 0 SYSTEM, one random node within that network will be booted from the network; end any effect granted to that node by the network immediately.",Disconnects and prevent a node from rejoining the network.
2- Exile,INTERNAL CYBER ATTACK,1,1,9000,UNCOMMON,Restricted,"When using Exile to perform a CYBER ATTACK against an INTERNAL NETWORK, if you deal enough damage to recude the layer to 0 SYSTEM, one node  of your choice within that network will be booted from the network; end any effect granted to that node by the network immediately. You can target friendly nodes within your own network as well.",
3- Exile,CORE CYBER ATTACK,1,1,9000,UNCOMMON,Restricted,"When using Exile to perform a CYBER ATTACK against a CORE NETWORK, instead of dealing SYSTEM damage you apply your mitigated success to the number of nodes that will be booted from the network; end any effect granted to that node by the network immediately. You can target friendly nodes within your own network as well if attackers have reached your CORE.",
1- Power Surge,EXTERNAL CYBER ATTACK,1,1,50000,RARE,Illegal,"When using Power Surge to perform a CYBER ATTACK against an EXTERNAL NETWORK, if the attack reduces the SYSTEM to 0, every connected NODE trigger an explosion dealing [LOW] 5D + 1 ENERGY HEALTH damage in a 5m radius from the device.",Device power source will malfunction and explode once the system can no longer function.
2- Power Surge,INTERNAL CYBER ATTACK,1,1,50000,RARE,Illegal,"When using Power Surge to perform a CYBER ATTACK against an INTERNAL NETWORK, if the attack reduces the SYSTEM to 0, every connected NODE trigger an explosion dealing [HIGH] 5D + 3 ENERGY HEALTH damage in a 5m radius from the device.",
3- Power Surge,CORE CYBER ATTACK,1,1,50000,RARE,Illegal,"When using Power Surge to perform a CYBER ATTACK against a CORE NETWORK, if the attack reduces the SYSTEM to 0, every connected NODE trigger an explosion dealing [EXTREME] 5D + 5 ENERGY HEALTH damage in a 5m radius from the device.",
1- Nurse CHAINSAW,EXTERNAL CYBER ATTACK,2,1,300000,LIMITED,Illegal,"When using Nurse Chainsaw to perform a CYBER ATTACK against an EXTERNAL NETWORK, you deal no SYSTEM DAMAGE, instead one NODE OWNER of your choice cannot recover from AILMENTS during the next MAINTENANCE PHASE.",A CYBER ATTACK that triggers the medical monitoring and tries to fight off fake threats.
2- Nurse CHAINSAW,INTERNAL CYBER ATTACK,2,1,300000,LIMITED,Illegal,"When using Nurse Chainsaw to perform a CYBER ATTACK against an INTERNAL NETWORK, you deal no SYSTEM DAMAGE, instead all network users of the targeted network cannot recover from AILMENTS during the next MAINTENANCE PHASE.",
3- Nurse CHAINSAW,CORE CYBER ATTACK,2,1,300000,LIMITED,Illegal,"When using Nurse Chainsaw to perform a CYBER ATTACK against a CORE NETWORK, you deal no SYSTEM DAMAGE, instead all network users of the targeted network suffer double AILMENTS effects (when applicable) and cannot recover from AILMENTS during the next MAINTENANCE PHASE.",
1- Friend maker 3000,EXTERNAL CYBER ATTACK,1,2,30000,RARE,Restricted,"When using Friend Maker 3000  to perform a CYBER ATTACK against an EXTERNAL NETWORK, you change the FoF of the target network to include one of your allies until next maintenance. (hacker's choice). Ranged enemy weapons that are not OLD will not be able to target that person without a QUICK DC 5 TECHNOLOGY action to override the FoF.","A CYBER ATTACK that messes with the FoF identification, rending weapons useless."
2- Friend maker 3000,INTERNAL CYBER ATTACK,1,2,30000,RARE,Restricted,"When using Friend Maker 3000  to perform a CYBER ATTACK against an  INTERNAL NETWORK, you change the FoF of the target network to include all of your allies until next maintenance. Ranged enemy weapons that are not OLD will not be able to target without a quick DC5 TECHNOLOGY action to override the FoF on every attack.",
3- Friend maker 3000,CORE CYBER ATTACK,1,2,30000,RARE,Restricted,"When using Friend Maker 3000 to perform a CYBER ATTACK against a CORE NETWORK, you override the FoF of the target network to attack its own allies until next maintenance. Any DRONE, TEK or Ranged enemy weapons that are not OLD will only shoot at allies person unless a QUICK DC5 TECHNOLOGY action is performed to override the FoF for every device.",
1- Hi I'm BOB,EXTERNAL CYBER ATTACK,1,1,30000,COMMON,Illegal,"When using Hi I'm bob to perform a CYBER ATTACK against an EXTERNAL NETWORK, your also gain the effect of one the target network's ROUTINES (defender's choice) until the next maintenance.",CYBER ATTACK that Infects network to make it believe you are a member of it.
2- Hi I'm BOB,INTERNAL CYBER ATTACK,1,1,30000,COMMON,Illegal,"When using Hi I'm bob to perform a CYBER ATTACK against an INTERNAL NETWORK, your network also gain the effect of all of the target network's ROUTINES until the next maintenance.",
3- Hi I'm BOB,CORE CYBER ATTACK,1,1,30000,COMMON,Illegal,"When using  Hi I'm bob to perform a CYBER ATTACK against a CORE NETWORK,You change the target network's ROUTINES to only apply to your NETWORK until the next maintenance.",
1- Kernel panic,EXTERNAL CYBER ATTACK,1,2,40000,UNCOMMON,Restricted,"When using Kernel Panic to perform a CYBER ATTACK against an EXTERNAL NETWORK, in addition to the SYSTEM damage, defender's network has its CPU lowered by 1 (Min 0) until next maintenance.",A CYBER ATTACK that cause the infected network to target itself with its various routines.
2- Kernel panic,INTERNAL CYBER ATTACK,1,2,40000,UNCOMMON,Restricted,"When using Kernel Panic to perform a CYBER ATTACK against an INTERNAL NETWORK, in addition to the SYSTEM damage, defender's network has its CPU lowered by your mitigated result (Min 0) until next maintenance.",
3- Kernel panic,CORE CYBER ATTACK,1,2,40000,UNCOMMON,Restricted,"When using Kernel Panic to perform a CYBER ATTACK against a CORE NETWORK, in addition to the SYSTEM damage, defender's network has its CPU lowered to 0 and any ROUTINES running are forced back in MEMORY.",
1- Randomizer,EXTERNAL CYBER ATTACK,1,1,80000,RARE,Illegal,"When using Randomizer to perform a CYBER ATTACK against an EXTERNAL NETWORK, the following effects apply depending on your LUCK dice result. On a critical success, you deal double SYSTEM DAMAGE, on a success, you deal maximum damage, on a faillure you deal no damage and on a critical faillure your own network takes maximum damage.",A CYBER ATTACK that also causes some routines to shut down randomly
2- Randomizer,INTERNAL CYBER ATTACK,1,1,80000,RARE,Illegal,"When using Randomizer to perform a CYBER ATTACK against an INTERNAL NETWORK, the following effects apply depending on your LUCK dice result. On a critical success, you deal double SYSTEM DAMAGE, on a success, you deal maximum damage, on a faillure you deal minimum damage and on a critical faillure you deal no damage.",
3- Randomizer,CORE CYBER ATTACK,1,1,80000,RARE,Illegal,"When using Randomizer to perform a CYBER ATTACK against a CORE NETWORK, the following effects apply depending on your LUCK dice result. On a success, all connected users suffer a MENTAL TRAUMA, on a faillure you deal normal SYSTEM damage.",
1- Birthday Surprise,EXTERNAL CYBER ATTACK,1,1,110000,RARE,Illegal,"When using Birthday Surprise to perform a CYBER ATTACK against an EXTERNAL NETWORK, if your damage drops the EXTERNAL SYSTEM to 0, you can detonate one explosive device of your choice that belongs to any target NETWORK users.",
2- Birthday Surprise,INTERNAL CYBER ATTACK,1,1,110000,RARE,Illegal,"When using Birthday Surprise to perform a CYBER ATTACK against an INTERNAL NETWORK, if your damage drops the INTERNAL SYSTEM to 0, you can detonate all of the explosive devices that belongs to a target NETWORK user of your choice.",
3- Birthday Surprise,CORE CYBER ATTACK,1,1,110000,RARE,Illegal,"When using Birthday Surprise to perform a CYBER ATTACK against a CORE NETWORK, if your damage drops the CORE SYSTEM to 0, you can detonate any number of explosive devices belonging to every NETWORK users.",
1- Nightmares,EXTERNAL CYBER ATTACK,2,2,250000,LIMITED,Illegal,"When using Nightmares to perform a CYBER ATTACK against an EXTERNAL NETWORK ; you only deal 1 SYSTEM damage, instead you deal [LOW] 4D + 3 TECH MORALE damage to the HOST NODE owner.",An horrendous program designed to render all network users insane.
2- Nightmares,INTERNAL CYBER ATTACK,2,2,250000,LIMITED,Illegal,"When using Nightmares to perform a CYBER ATTACK against an INTERNAL NETWORK ; you only deal 1 SYSTEM damage, instead you deal [MEDIUM] 4D + 3 TECH MORALE damage to all  (up to your EXPERTISE result) NODE owners on the target NETWORK.",
3- Nightmares,CORE CYBER ATTACK,2,2,250000,LIMITED,Illegal,"When using Nightmares to perform a CYBER ATTACK against a CORE NETWORK ; you only deal 1 SYSTEM damage, instead you deal [HIGH] 4D + 3 ONG TECH MORALE damage to all NODE owners on the target NETWORK.",
1- Rabid Racoon 42,EXTERNAL CYBER ATTACK,2,1,850000,UNIQUE,Classified,"When using Rabid Racoon 42 to perform a CYBER ATTACK against an EXTERNAL NETWORK, the SYSTEM damage gains the ONG tag.",Black market tronik code designed to obliterate a network.
